物品ID,物品名称,模型路径
22262,"七狱外套·常风","chara/equipment/e0324/model/c0101e0324_top.mdl"
22038,"七狱手套","chara/equipment/e0324/model/c0101e0324_glv.mdl"
22113,"七狱手套+1","chara/equipment/e0324/model/c0101e0324_glv.mdl"
22188,"七狱手套+2","chara/equipment/e0324/model/c0101e0324_glv.mdl"
22263,"七狱手套·常风","chara/equipment/e0324/model/c0101e0324_glv.mdl"
22040,"七狱长靴","chara/equipment/e0324/model/c0101e0324_sho.mdl"
22115,"七狱长靴+1","chara/equipment/e0324/model/c0101e0324_sho.mdl"
22190,"七狱长靴+2","chara/equipment/e0324/model/c0101e0324_sho.mdl"
22265,"七狱长靴·常风","chara/equipment/e0324/model/c0101e0324_sho.mdl"
22036,"七狱阔边帽","chara/equipment/e0324/model/c0101e0324_met.mdl"
22111,"七狱阔边帽+1","chara/equipment/e0324/model/c0101e0324_met.mdl"
22186,"七狱阔边帽+2","chara/equipment/e0324/model/c0101e0324_met.mdl"
22261,"七狱阔边帽·常风","chara/equipment/e0324/model/c0101e0324_met.mdl"
22039,"七狱马裤","chara/equipment/e0324/model/c0101e0324_dwn.mdl"
22114,"七狱马裤+1","chara/equipment/e0324/model/c0101e0324_dwn.mdl"
22189,"七狱马裤+2","chara/equipment/e0324/model/c0101e0324_dwn.mdl"
22264,"七狱马裤·常风","chara/equipment/e0324/model/c0101e0324_dwn.mdl"
2217,"万全之书","chara/weapon/w1706/obj/body/b0001/model/w1706b0001.mdl"
2054,"万全棒","chara/weapon/w0804/obj/body/b0001/model/w0804b0001.mdl"
2214,"万辞全书","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
6265,"万辞全书·天极","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12199,"万辞全书·天极（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
7871,"万辞全书·新星","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12202,"万辞全书·新星（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
22879,"万辞全书·究极","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
8657,"万辞全书·镇魂","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12203,"万辞全书·镇魂（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
7832,"万辞全书·魂晶","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12200,"万辞全书·魂晶（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
7842,"万辞全书·魂灵","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12201,"万辞全书·魂灵（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
2192,"万辞全书半成品","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12197,"万辞全书半成品（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
12198,"万辞全书（复制品）","chara/weapon/w1715/obj/body/b0001/model/w1715b0001.mdl"
21336,"三叶","chara/weapon/w0101/obj/body/b0071/model/w0101b0071.mdl"
21414,"三叶·改","chara/weapon/w0101/obj/body/b0071/model/w0101b0071.mdl"
1867,"三尖枪","chara/weapon/w0501/obj/body/b0003/model/w0501b0003.mdl"
25221,"三尖神枪","chara/weapon/w0501/obj/body/b0082/model/w0501b0082.mdl"
21323,"三日月","chara/weapon/w0401/obj/body/b0078/model/w0401b0078.mdl"
21401,"三日月·改","chara/weapon/w0401/obj/body/b0078/model/w0401b0078.mdl"
2751,"三色蛋壳帽","chara/equipment/e0055/model/c0101e0055_met.mdl"
4406,"三色蛋戒指 - 右","chara/accessory/a0013/model/c0101a0013_rir.mdl"
4406,"三色蛋戒指 - 左","chara/accessory/a0013/model/c0101a0013_ril.mdl"
10069,"三色蛋耳坠","chara/accessory/a0011/model/c0101a0011_ear.mdl"
26182,"三重石咏咒手镯","chara/accessory/a0055/model/c0101a0055_wrs.mdl"
26187,"三重石咏咒指环 - 右","chara/accessory/a0055/model/c0101a0055_rir.mdl"
26187,"三重石咏咒指环 - 左","chara/accessory/a0055/model/c0101a0055_ril.mdl"
26172,"三重石咏咒耳坠","chara/accessory/a0055/model/c0101a0055_ear.mdl"
26177,"三重石咏咒项环","chara/accessory/a0055/model/c0101a0055_nek.mdl"
26179,"三重石强攻手镯","chara/accessory/a0055/model/c0101a0055_wrs.mdl"
26184,"三重石强攻指环 - 右","chara/accessory/a0055/model/c0101a0055_rir.mdl"
26184,"三重石强攻指环 - 左","chara/accessory/a0055/model/c0101a0055_ril.mdl"
26169,"三重石强攻耳坠","chara/accessory/a0055/model/c0101a0055_ear.mdl"
26174,"三重石强攻项环","chara/accessory/a0055/model/c0101a0055_nek.mdl"
26178,"三重石御敌手镯","chara/accessory/a0055/model/c0101a0055_wrs.mdl"
26183,"三重石御敌指环 - 右","chara/accessory/a0055/model/c0101a0055_rir.mdl"
26183,"三重石御敌指环 - 左","chara/accessory/a0055/model/c0101a0055_ril.mdl"
26168,"三重石御敌耳坠","chara/accessory/a0055/model/c0101a0055_ear.mdl"
26173,"三重石御敌项环","chara/accessory/a0055/model/c0101a0055_nek.mdl"
26181,"三重石治愈手镯","chara/accessory/a0055/model/c0101a0055_wrs.mdl"
26186,"三重石治愈指环 - 右","chara/accessory/a0055/model/c0101a0055_rir.mdl"
26186,"三重石治愈指环 - 左","chara/accessory/a0055/model/c0101a0055_ril.mdl"
26171,"三重石治愈耳坠","chara/accessory/a0055/model/c0101a0055_ear.mdl"
26176,"三重石治愈项环","chara/accessory/a0055/model/c0101a0055_nek.mdl"
26180,"三重石精准手镯","chara/accessory/a0055/model/c0101a0055_wrs.mdl"
26185,"三重石精准指环 - 右","chara/accessory/a0055/model/c0101a0055_rir.mdl"
26185,"三重石精准指环 - 左","chara/accessory/a0055/model/c0101a0055_ril.mdl"
26170,"三重石精准耳坠","chara/accessory/a0055/model/c0101a0055_ear.mdl"
26175,"三重石精准项环","chara/accessory/a0055/model/c0101a0055_nek.mdl"
30231,"三锋锐","chara/weapon/w0501/obj/body/b0089/model/w0501b0089.mdl"
30788,"三锋锐·回忆","chara/weapon/w0501/obj/body/b0089/model/w0501b0089.mdl"
32690,"三锋锐·回忆（复制品）","chara/weapon/w0501/obj/body/b0089/model/w0501b0089.mdl"
31634,"三锋锐（复制品）","chara/weapon/w0501/obj/body/b0089/model/w0501b0089.mdl"
15489,"上仙数珠","chara/equipment/e6026/model/c0101e6026_glv.mdl"
15488,"上仙斗衣","chara/equipment/e6026/model/c0101e6026_top.mdl"
15487,"上仙紧箍","chara/equipment/e6026/model/c0101e6026_met.mdl"
15491,"上仙缠足","chara/equipment/e6026/model/c0101e6026_sho.mdl"
15490,"上仙长裤","chara/equipment/e6026/model/c0101e6026_dwn.mdl"
24338,"上级恶魔角","chara/equipment/e5042/model/c0101e5042_met.mdl"
11770,"不动行光 - 主手","chara/weapon/w1801/obj/body/b0029/model/w1801b0029.mdl"
11770,"不动行光 - 副手","chara/weapon/w1851/obj/body/b0029/model/w1851b0029.mdl"
13616,"不动行光·元灵 - 主手","chara/weapon/w1801/obj/body/b0029/model/w1801b0029.mdl"
13616,"不动行光·元灵 - 副手","chara/weapon/w1851/obj/body/b0029/model/w1851b0029.mdl"
13602,"不动行光·觉醒 - 主手","chara/weapon/w1801/obj/body/b0029/model/w1801b0029.mdl"
13602,"不动行光·觉醒 - 副手","chara/weapon/w1851/obj/body/b0029/model/w1851b0029.mdl"
13781,"不动行光·觉醒（复制品） - 主手","chara/weapon/w1801/obj/body/b0029/model/w1801b0029.mdl"
13781,"不动行光·觉醒（复制品） - 副手","chara/weapon/w1851/obj/body/b0029/model/w1851b0029.mdl"
39245,"不死鸟英雄头盔","chara/equipment/e6158/model/c0101e6158_met.mdl"
39246,"不死鸟英雄战衣","chara/equipment/e6158/model/c0101e6158_top.mdl"
42578,"不知火 - 主手","chara/weapon/w1801/obj/body/b0128/model/w1801b0128.mdl"
42578,"不知火 - 副手","chara/weapon/w1851/obj/body/b0128/model/w1851b0128.mdl"
1705,"不破指虎 - 主手","chara/weapon/w0301/obj/body/b0003/model/w0301b0003.mdl"
1705,"不破指虎 - 副手","chara/weapon/w0351/obj/body/b0003/model/w0351b0003.mdl"
9495,"与一之弓 - 主手","chara/weapon/w0601/obj/body/b0028/model/w0601b0028.mdl"
9495,"与一之弓 - 副手","chara/weapon/w0698/obj/body/b0028/model/w0698b0028.mdl"
10058,"与一之弓·本我 - 主手","chara/weapon/w0601/obj/body/b0028/model/w0601b0028.mdl"
10058,"与一之弓·本我 - 副手","chara/weapon/w0698/obj/body/b0028/model/w0698b0028.mdl"
12160,"与一之弓·本我（复制品） - 主手","chara/weapon/w0601/obj/body/b0028/model/w0601b0028.mdl"
12160,"与一之弓·本我（复制品） - 副手","chara/weapon/w0698/obj/body/b0028/model/w0698b0028.mdl"
12159,"与一之弓（复制品） - 主手","chara/weapon/w0601/obj/body/b0028/model/w0601b0028.mdl"
12159,"与一之弓（复制品） - 副手","chara/weapon/w0698/obj/body/b0028/model/w0698b0028.mdl"
29593,"专业圆头锤 - 主手","chara/weapon/w5201/obj/body/b0007/model/w5201b0007.mdl"
29593,"专业圆头锤 - 副手","chara/weapon/w5281/obj/body/b0002/model/w5281b0002.mdl"
29595,"专业圆革刀 - 主手","chara/weapon/w5401/obj/body/b0007/model/w5401b0007.mdl"
29595,"专业圆革刀 - 副手","chara/weapon/w5481/obj/body/b0002/model/w5481b0002.mdl"
29608,"专业大地外套","chara/equipment/e0606/model/c0101e0606_top.mdl"
29607,"专业大地头巾","chara/equipment/e0606/model/c0101e0606_met.mdl"
29611,"专业大地工作靴","chara/equipment/e0606/model/c0101e0606_sho.mdl"
29609,"专业大地手套","chara/equipment/e0606/model/c0101e0606_glv.mdl"
29610,"专业大地马裤","chara/equipment/e0606/model/c0101e0606_dwn.mdl"
29594,"专业工艺锤 - 主手","chara/weapon/w5301/obj/body/b0006/model/w5301b0006.mdl"
29594,"专业工艺锤 - 副手","chara/weapon/w5381/obj/body/b0002/model/w5381b0002.mdl"
29604,"专业巧匠半指护手","chara/equipment/e0605/model/c0101e0605_glv.mdl"
29603,"专业巧匠外套","chara/equipment/e0605/model/c0101e0605_top.mdl"
29606,"专业巧匠皮靴","chara/equipment/e0605/model/c0101e0605_sho.mdl"
29602,"专业巧匠贝雷帽","chara/equipment/e0605/model/c0101e0605_met.mdl"
29605,"专业巧匠软甲裤","chara/equipment/e0605/model/c0101e0605_dwn.mdl"
29600,"专业手斧","chara/weapon/w7101/obj/body/b0008/model/w7101b0008.mdl"
29591,"专业手锯 - 主手","chara/weapon/w5004/obj/body/b0003/model/w5004b0003.mdl"
29591,"专业手锯 - 副手","chara/weapon/w5081/obj/body/b0002/model/w5081b0002.mdl"
29592,"专业横头锤 - 主手","chara/weapon/w5101/obj/body/b0005/model/w5101b0005.mdl"
29592,"专业横头锤 - 副手","chara/weapon/w5181/obj/body/b0002/model/w5181b0002.mdl"
29598,"专业煎锅 - 主手","chara/weapon/w5701/obj/body/b0008/model/w5701b0008.mdl"
29598,"专业煎锅 - 副手","chara/weapon/w5722/obj/body/b0001/model/w5722b0001.mdl"
29596,"专业缝针","chara/weapon/w5501/obj/body/b0005/model/w5501b0005.mdl"
29597,"专业蒸馏器 - 主手","chara/weapon/w5603/obj/body/b0004/model/w5603b0004.mdl"
29597,"专业蒸馏器 - 副手","chara/weapon/w5682/obj/body/b0001/model/w5682b0001.mdl"
29601,"专业钓竿 - 主手","chara/weapon/w7201/obj/body/b0007/model/w7201b0007.mdl"
29601,"专业钓竿 - 副手","chara/weapon/w7281/obj/body/b0001/model/w7281b0001.mdl"
29599,"专业鹤嘴锄","chara/weapon/w7002/obj/body/b0002/model/w7002b0002.mdl"
32585,"世传制敌外套","chara/equipment/e6061/model/c0101e6061_top.mdl"
32584,"世传制敌头冠","chara/equipment/e6061/model/c0101e6061_met.mdl"
32586,"世传制敌手铠","chara/equipment/e6061/model/c0101e6061_glv.mdl"
32587,"世传制敌束膝裤","chara/equipment/e6061/model/c0101e6061_dwn.mdl"
32588,"世传制敌胫甲","chara/equipment/e6061/model/c0101e6061_sho.mdl"
32616,"世传咏咒手套","chara/equipment/e0596/model/c0101e0596_glv.mdl"
32634,"世传咏咒手镯","chara/accessory/a0098/model/c0101a0098_wrs.mdl"
32639,"世传咏咒指环 - 右","chara/accessory/a0098/model/c0101a0098_rir.mdl"
32639,"世传咏咒指环 - 左","chara/accessory/a0098/model/c0101a0098_ril.mdl"
32615,"世传咏咒束腰牧衣","chara/equipment/e0596/model/c0101e0596_top.mdl"
32618,"世传咏咒皮鞋","chara/equipment/e0596/model/c0101e0596_sho.mdl"
32614,"世传咏咒礼帽","chara/equipment/e0596/model/c0101e0596_met.mdl"
32624,"世传咏咒耳坠","chara/accessory/a0098/model/c0101a0098_ear.mdl"
32617,"世传咏咒软甲裤","chara/equipment/e0596/model/c0101e0596_dwn.mdl"
32629,"世传咏咒项链","chara/accessory/a0098/model/c0101a0098_nek.mdl"
32631,"世传强攻手镯","chara/accessory/a0098/model/c0101a0098_wrs.mdl"
32636,"世传强攻指环 - 右","chara/accessory/a0098/model/c0101a0098_rir.mdl"
32636,"世传强攻指环 - 左","chara/accessory/a0098/model/c0101a0098_ril.mdl"
32621,"世传强攻耳坠","chara/accessory/a0098/model/c0101a0098_ear.mdl"
32626,"世传强攻项链","chara/accessory/a0098/model/c0101a0098_nek.mdl"
32591,"世传强袭外套","chara/equipment/e0594/model/c0101e0594_top.mdl"
32590,"世传强袭头冠","chara/equipment/e0594/model/c0101e0594_met.mdl"
32592,"世传强袭手铠","chara/equipment/e6061/model/c0101e6061_glv.mdl"
32593,"世传强袭束膝裤","chara/equipment/e6061/model/c0101e6061_dwn.mdl"
32594,"世传强袭高筒靴","chara/equipment/e0594/model/c0101e0594_sho.mdl"
32579,"世传御敌外套","chara/equipment/e6061/model/c0101e6061_top.mdl"
32578,"世传御敌头冠","chara/equipment/e6061/model/c0101e6061_met.mdl"
32580,"世传御敌手铠","chara/equipment/e6061/model/c0101e6061_glv.mdl"
32630,"世传御敌手镯","chara/accessory/a0098/model/c0101a0098_wrs.mdl"
32635,"世传御敌指环 - 右","chara/accessory/a0098/model/c0101a0098_rir.mdl"
32635,"世传御敌指环 - 左","chara/accessory/a0098/model/c0101a0098_ril.mdl"
32581,"世传御敌束膝裤","chara/equipment/e6061/model/c0101e6061_dwn.mdl"
32620,"世传御敌耳坠","chara/accessory/a0098/model/c0101a0098_ear.mdl"
32582,"世传御敌胫甲","chara/equipment/e6061/model/c0101e6061_sho.mdl"
32625,"世传御敌项链","chara/accessory/a0098/model/c0101a0098_nek.mdl"
32610,"世传治愈手套","chara/equipment/e0596/model/c0101e0596_glv.mdl"
32633,"世传治愈手镯","chara/accessory/a0098/model/c0101a0098_wrs.mdl"
32638,"世传治愈指环 - 右","chara/accessory/a0098/model/c0101a0098_rir.mdl"
32638,"世传治愈指环 - 左","chara/accessory/a0098/model/c0101a0098_ril.mdl"
32609,"世传治愈束腰牧衣","chara/equipment/e0596/model/c0101e0596_top.mdl"
32612,"世传治愈皮鞋","chara/equipment/e0596/model/c0101e0596_sho.mdl"
32608,"世传治愈礼帽","chara/equipment/e0596/model/c0101e0596_met.mdl"
32623,"世传治愈耳坠","chara/accessory/a0098/model/c0101a0098_ear.mdl"
32611,"世传治愈软甲裤","chara/equipment/e0596/model/c0101e0596_dwn.mdl"
32628,"世传治愈项链","chara/accessory/a0098/model/c0101a0098_nek.mdl"
32603,"世传游击外套","chara/equipment/e0594/model/c0101e0594_top.mdl"
32602,"世传游击头冠","chara/equipment/e0594/model/c0101e0594_met.mdl"
32604,"世传游击手铠","chara/equipment/e6061/model/c0101e6061_glv.mdl"
32605,"世传游击束膝裤","chara/equipment/e6061/model/c0101e6061_dwn.mdl"
32606,"世传游击高筒靴","chara/equipment/e0594/model/c0101e0594_sho.mdl"
32597,"世传精准外套","chara/equipment/e6061/model/c0101e6061_top.mdl"
32598,"世传精准手铠","chara/equipment/e6061/model/c0101e6061_glv.mdl"
32632,"世传精准手镯","chara/accessory/a0098/model/c0101a0098_wrs.mdl"
32637,"世传精准指环 - 右","chara/accessory/a0098/model/c0101a0098_rir.mdl"
32637,"世传精准指环 - 左","chara/accessory/a0098/model/c0101a0098_ril.mdl"
32599,"世传精准束膝裤","chara/equipment/e6061/model/c0101e6061_dwn.mdl"
32622,"世传精准耳坠","chara/accessory/a0098/model/c0101a0098_ear.mdl"
32596,"世传精准贝雷帽","chara/equipment/e0595/model/c0101e0595_met.mdl"
32627,"世传精准项链","chara/accessory/a0098/model/c0101a0098_nek.mdl"
32600,"世传精准高筒靴","chara/equipment/e0594/model/c0101e0594_sho.mdl"
25223,"丙子椒林剑 - 主手","chara/weapon/w1801/obj/body/b0083/model/w1801b0083.mdl"
25223,"丙子椒林剑 - 副手","chara/weapon/w1851/obj/body/b0083/model/w1851b0083.mdl"
2661,"业余兜帽","chara/equipment/e0004/model/c0101e0004_met.mdl"
3015,"业余厚袍","chara/equipment/e0004/model/c0101e0004_top.mdl"
2507,"业余厨刀 - 主手","chara/weapon/w5741/obj/body/b0001/model/w5741b0001.mdl"
2507,"业余厨刀 - 副手","chara/weapon/w5781/obj/body/b0001/model/w5781b0001.mdl"
2660,"业余头甲","chara/equipment/e0002/model/c0101e0002_met.mdl"
3013,"业余工作坎肩","chara/equipment/e0032/model/c0101e0032_top.mdl"
3315,"业余工作裤","chara/equipment/e0002/model/c0101e0002_dwn.mdl"
2495,"业余平底锅 - 主手","chara/weapon/w5701/obj/body/b0001/model/w5701b0001.mdl"
2495,"业余平底锅 - 副手","chara/weapon/w5721/obj/body/b0001/model/w5721b0001.mdl"
2430,"业余平斩 - 主手","chara/weapon/w5441/obj/body/b0001/model/w5441b0001.mdl"
2430,"业余平斩 - 副手","chara/weapon/w5481/obj/body/b0001/model/w5481b0001.mdl"
2547,"业余手斧","chara/weapon/w7101/obj/body/b0001/model/w7101b0001.mdl"
2380,"业余手钳 - 主手","chara/weapon/w5241/obj/body/b0001/model/w5241b0001.mdl"
2380,"业余手钳 - 副手","chara/weapon/w5281/obj/body/b0001/model/w5281b0001.mdl"
2316,"业余手锯 - 主手","chara/weapon/w5001/obj/body/b0001/model/w5001b0001.mdl"
2316,"业余手锯 - 副手","chara/weapon/w5081/obj/body/b0001/model/w5081b0001.mdl"
3014,"业余无领衬衫","chara/equipment/e0035/model/c0101e0035_top.mdl"
2342,"业余横头锤 - 主手","chara/weapon/w5101/obj/body/b0001/model/w5101b0001.mdl"
2342,"业余横头锤 - 副手","chara/weapon/w5181/obj/body/b0001/model/w5181b0001.mdl"
2405,"业余砂轮机 - 主手","chara/weapon/w5341/obj/body/b0001/model/w5341b0001.mdl"
2405,"业余砂轮机 - 副手","chara/weapon/w5361/obj/body/b0001/model/w5361b0001.mdl"
2481,"业余研钵 - 主手","chara/weapon/w5641/obj/body/b0001/model/w5641b0001.mdl"
2481,"业余研钵 - 副手","chara/weapon/w5661/obj/body/b0001/model/w5661b0001.mdl"
2456,"业余纺车 - 主手","chara/weapon/w5571/obj/body/b0001/model/w5571b0001.mdl"
2456,"业余纺车 - 副手","chara/weapon/w5561/obj/body/b0001/model/w5561b0001.mdl"
2445,"业余缝针","chara/weapon/w5501/obj/body/b0001/model/w5501b0001.mdl"
2328,"业余羊角锤 - 主手","chara/weapon/w5041/obj/body/b0001/model/w5041b0001.mdl"
2328,"业余羊角锤 - 副手","chara/weapon/w5081/obj/body/b0001/model/w5081b0001.mdl"
3536,"业余耐热手套","chara/equipment/e0002/model/c0101e0002_glv.mdl"
2469,"业余蒸馏器 - 主手","chara/weapon/w5601/obj/body/b0001/model/w5601b0001.mdl"
2469,"业余蒸馏器 - 副手","chara/weapon/w5681/obj/body/b0001/model/w5681b0001.mdl"
2418,"业余裁皮刀 - 主手","chara/weapon/w5401/obj/body/b0001/model/w5401b0001.mdl"
2418,"业余裁皮刀 - 副手","chara/weapon/w5481/obj/body/b0001/model/w5481b0001.mdl"
2573,"业余钓竿 - 主手","chara/weapon/w7201/obj/body/b0001/model/w7201b0001.mdl"
2573,"业余钓竿 - 副手","chara/weapon/w7281/obj/body/b0001/model/w7281b0001.mdl"
2368,"业余铸甲锤 - 主手","chara/weapon/w5201/obj/body/b0001/model/w5201b0001.mdl"
2368,"业余铸甲锤 - 副手","chara/weapon/w5282/obj/body/b0001/model/w5282b0001.mdl"
2355,"业余锉刀 - 主手","chara/weapon/w5141/obj/body/b0001/model/w5141b0001.mdl"
2355,"业余锉刀 - 副手","chara/weapon/w5181/obj/body/b0001/model/w5181b0001.mdl"
3768,"业余长靴","chara/equipment/e0002/model/c0101e0002_sho.mdl"
2393,"业余雕金锤 - 主手","chara/weapon/w5301/obj/body/b0001/model/w5301b0001.mdl"
2393,"业余雕金锤 - 副手","chara/weapon/w5381/obj/body/b0001/model/w5381b0001.mdl"
3316,"业余马裤","chara/equipment/e0004/model/c0101e0004_dwn.mdl"
